1.172081086000000028e+02,3.915223457999999823e+01,1.172143543600000015e+02,3.915338756999999958e+01,6.339999999999999858e+00,4.309000000000000341e+01,1.425000000000000000e+01,1.007000000000000028e+01
1.172078937099999933e+02,3.915275144999999668e+01,1.172141399599999971e+02,3.915390500000000173e+01,5.740000000000000213e+00,4.309000000000000341e+01,1.425999999999999979e+01,1.006000000000000050e+01
1.172076805399999984e+02,3.915326532000000270e+01,1.172139273699999933e+02,3.915441890000000313e+01,5.599999999999999645e+00,4.310999999999999943e+01,1.426999999999999957e+01,1.003999999999999915e+01
1.172074674600000037e+02,3.915377900000000011e+01,1.172137125499999968e+02,3.915493819999999658e+01,5.809999999999999609e+00,4.347999999999999687e+01,1.430000000000000071e+01,1.000000000000000000e+01
1.172072575199999989e+02,3.915429560999999836e+01,1.172135047700000001e+02,3.915545596999999844e+01,6.200000000000000178e+00,4.331000000000000227e+01,1.428999999999999915e+01,1.000999999999999979e+01
1.172069624100000027e+02,3.915478975999999989e+01,1.172132090099999999e+02,3.915595033000000313e+01,6.089999999999999858e+00,4.346000000000000085e+01,1.427999999999999936e+01,1.001999999999999957e+01
1.172068427399999990e+02,3.915533019000000081e+01,1.172130899900000003e+02,3.915648774000000287e+01,6.030000000000000249e+00,4.354999999999999716e+01,1.426999999999999957e+01,1.003999999999999915e+01
1.172066269299999988e+02,3.915584722999999912e+01,1.172128745699999968e+02,3.915700532000000322e+01,5.669999999999999929e+00,4.342000000000000171e+01,1.426999999999999957e+01,1.005000000000000071e+01
1.172063364100000058e+02,3.915634595000000218e+01,1.172125851600000033e+02,3.915750517000000031e+01,5.620000000000000107e+00,4.346999999999999886e+01,1.427999999999999936e+01,1.002999999999999936e+01
1.172061346400000019e+02,3.915686950999999993e+01,1.172123851799999983e+02,3.915802679000000097e+01,5.650000000000000355e+00,4.336999999999999744e+01,1.425999999999999979e+01,1.005000000000000071e+01
1.172059384199999954e+02,3.915739392999999779e+01,1.172121898799999968e+02,3.915855187999999742e+01,5.889999999999999680e+00,4.288000000000000256e+01,1.426999999999999957e+01,1.003999999999999915e+01
1.172057658500000059e+02,3.915791018000000179e+01,1.172120168000000007e+02,3.915906618999999722e+01,5.769999999999999574e+00,4.257000000000000028e+01,1.427999999999999936e+01,1.001999999999999957e+01
1.172055538000000041e+02,3.915843379999999740e+01,1.172118119999999948e+02,3.915959623999999906e+01,5.469999999999999751e+00,4.267000000000000171e+01,1.433999999999999986e+01,9.939999999999999503e+00
1.172053276200000056e+02,3.915895995999999712e+01,1.172115734000000060e+02,3.916013140999999820e+01,4.830000000000000071e+00,4.675999999999999801e+01,1.431000000000000050e+01,9.980000000000000426e+00
1.172051395400000047e+02,3.915946617000000174e+01,1.172113973600000065e+02,3.916063545000000090e+01,4.849999999999999645e+00,4.311999999999999744e+01,1.428999999999999915e+01,1.000999999999999979e+01
1.172049634499999939e+02,3.915998225999999960e+01,1.172112219400000015e+02,3.916114638999999897e+01,4.870000000000000107e+00,4.278999999999999915e+01,1.428999999999999915e+01,1.000999999999999979e+01
1.172048182700000041e+02,3.916050520999999662e+01,1.172110879800000021e+02,3.916166922000000028e+01,4.830000000000000071e+00,4.307000000000000028e+01,1.428999999999999915e+01,1.000999999999999979e+01
1.172047038700000030e+02,3.916102800000000173e+01,1.172109829900000051e+02,3.916219957999999934e+01,5.030000000000000249e+00,4.417999999999999972e+01,1.433999999999999986e+01,9.939999999999999503e+00
1.172046050499999978e+02,3.916155370999999974e+01,1.172108812299999983e+02,3.916271892999999693e+01,5.070000000000000284e+00,4.228000000000000114e+01,1.433000000000000007e+01,9.949999999999999289e+00
1.172045167099999929e+02,3.916206702000000206e+01,1.172108007599999979e+02,3.916322415999999862e+01,4.719999999999999751e+00,3.884000000000000341e+01,1.433999999999999986e+01,9.939999999999999503e+00
1.172044376700000043e+02,3.916258981000000006e+01,1.172107201599999939e+02,3.916375888000000316e+01,4.809999999999999609e+00,4.228000000000000114e+01,1.435999999999999943e+01,9.910000000000000142e+00
1.172043350900000007e+02,3.916314511000000209e+01,1.172106054799999981e+02,3.916432314000000048e+01,4.660000000000000142e+00,4.504999999999999716e+01,1.433999999999999986e+01,9.939999999999999503e+00
1.172042103499999968e+02,3.916364898999999866e+01,1.172104808699999978e+02,3.916481516000000340e+01,4.940000000000000391e+00,4.190999999999999659e+01,1.433999999999999986e+01,9.939999999999999503e+00
1.172040651700000069e+02,3.916416112999999655e+01,1.172103351699999934e+02,3.916533085999999741e+01,4.709999999999999964e+00,4.154999999999999716e+01,1.521000000000000085e+01,8.550000000000000711e+00
1.172039371900000049e+02,3.916470404999999744e+01,1.172102102500000029e+02,3.916586982999999833e+01,4.870000000000000107e+00,4.200999999999999801e+01,1.526999999999999957e+01,8.429999999999999716e+00
1.172038719699999945e+02,3.916519285999999767e+01,1.172101450100000051e+02,3.916635429000000101e+01,4.629999999999999893e+00,3.997999999999999687e+01,1.525000000000000000e+01,8.480000000000000426e+00
1.172036805299999997e+02,3.916570372999999705e+01,1.172099531000000070e+02,3.916686941999999760e+01,4.530000000000000249e+00,4.115999999999999659e+01,1.482000000000000028e+01,9.220000000000000639e+00
1.172035479400000071e+02,3.916621864999999758e+01,1.172098191999999983e+02,3.916739094999999793e+01,4.450000000000000178e+00,4.350000000000000000e+01,1.566999999999999993e+01,7.679999999999999716e+00
1.172034059199999945e+02,3.916676008000000309e+01,1.172096755200000047e+02,3.916793538000000297e+01,4.719999999999999751e+00,4.286999999999999744e+01,1.514000000000000057e+01,8.679999999999999716e+00
1.172032719500000013e+02,3.916726624999999729e+01,1.172095438500000029e+02,3.916843441999999698e+01,4.900000000000000355e+00,4.193999999999999773e+01,1.465000000000000036e+01,9.480000000000000426e+00
1.172031391799999938e+02,3.916776194999999916e+01,1.172094126599999981e+02,3.916892567000000014e+01,4.150000000000000355e+00,3.939999999999999858e+01,1.433000000000000007e+01,9.949999999999999289e+00
1.172030046999999939e+02,3.916828284999999710e+01,1.172092805799999979e+02,3.916944801999999726e+01,3.939999999999999947e+00,4.028999999999999915e+01,1.434999999999999964e+01,9.919999999999999929e+00
1.172028924100000040e+02,3.916883021000000298e+01,1.172091703199999984e+02,3.917000312999999778e+01,3.970000000000000195e+00,4.313000000000000256e+01,1.441999999999999993e+01,9.830000000000000071e+00
1.172027471100000042e+02,3.916935739000000183e+01,1.172090192800000068e+02,3.917053648000000265e+01,3.830000000000000071e+00,4.464000000000000057e+01,1.471000000000000085e+01,9.380000000000000782e+00
1.172026202800000050e+02,3.916985930999999965e+01,1.172088970799999998e+02,3.917102984000000276e+01,3.689999999999999947e+00,4.107000000000000028e+01,1.444999999999999929e+01,9.769999999999999574e+00
1.172025471000000039e+02,3.917038426999999956e+01,1.172088250900000048e+02,3.917155457999999868e+01,3.609999999999999876e+00,3.934000000000000341e+01,1.440000000000000036e+01,9.849999999999999645e+00
1.172023807099999999e+02,3.917085295999999772e+01,1.172086412700000011e+02,3.917201613000000293e+01,3.430000000000000160e+00,3.839000000000000057e+01,1.441999999999999993e+01,9.830000000000000071e+00
1.172021135300000054e+02,3.917130559999999662e+01,1.172083614200000028e+02,3.917246566000000030e+01,4.000000000000000000e+00,3.860999999999999943e+01,1.434999999999999964e+01,9.929999999999999716e+00
