index,time,latitude,longitude,mean_wave_period
154,2017-12-02T21:00:00Z,36.5125,-16.1625,7.97145
155,2017-12-02T21:00:00Z,36.5125,-16.1375,7.9665027
156,2017-12-02T21:00:00Z,36.5125,-16.1125,7.9627037
157,2017-12-02T21:00:00Z,36.5125,-16.0875,7.9502354
158,2017-12-02T21:00:00Z,36.5125,-16.0625,7.9504404
159,2017-12-02T21:00:00Z,36.5125,-16.0375,7.9369736
160,2017-12-02T21:00:00Z,36.5125,-16.0125,7.9308705
161,2017-12-02T21:00:00Z,36.5125,-15.9875,7.88828
162,2017-12-02T21:00:00Z,36.5125,-15.9625,7.8771677
163,2017-12-02T21:00:00Z,36.5125,-15.9375,7.8681645
164,2017-12-02T21:00:00Z,36.5125,-15.9125,7.85972
165,2017-12-02T21:00:00Z,36.5125,-15.8875,7.8569374
166,2017-12-02T21:00:00Z,36.5125,-15.8625,7.8493896
167,2017-12-02T21:00:00Z,36.5125,-15.8375,7.8375244
168,2017-12-02T21:00:00Z,36.5125,-15.8125,7.835885
169,2017-12-02T21:00:00Z,36.5125,-15.7875,7.829723
170,2017-12-02T21:00:00Z,36.5125,-15.7625,7.8214865
171,2017-12-02T21:00:00Z,36.5125,-15.7375,7.820271
172,2017-12-02T21:00:00Z,36.5125,-15.7125,7.812113
173,2017-12-02T21:00:00Z,36.5125,-15.6875,7.8066883
174,2017-12-02T21:00:00Z,36.5125,-15.6625,7.8018436
175,2017-12-02T21:00:00Z,36.5125,-15.6375,7.7909937
176,2017-12-02T21:00:00Z,36.5125,-15.6125,7.7794986
177,2017-12-02T21:00:00Z,36.5125,-15.5875,7.775722
178,2017-12-02T21:00:00Z,36.5125,-15.5625,7.7655115
179,2017-12-02T21:00:00Z,36.5125,-15.5375,7.7577157
180,2017-12-02T21:00:00Z,36.5125,-15.5125,7.7441134
181,2017-12-02T21:00:00Z,36.5125,-15.4875,7.7201667
182,2017-12-02T21:00:00Z,36.5125,-15.4625,7.7136765
183,2017-12-02T21:00:00Z,36.5125,-15.4375,7.701529
